id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1327763227569233920	1327763227569233920	2020-11-14 18:59:56 -05	2020-11-14	18:59:56	-0500	1269499107573456898	chio_rocs	Rocio Cruzado		Que pasó con su comunicado? @PoliciaPeru @MininterPeru @Defensoria_Peru #puentetrujillo #PoliciasContraElPueblo #PoliciaCorrupta #Merinonomerepresenta #MerinoNoEsMiPresidente #MerinoJamásSeráMiPresidente #MarchaNacional	es	[{'screen_name': 'policiaperu', 'name': 'policía nacional del perú', 'id': '213769482'}, {'screen_name': 'mininterperu', 'name': 'ministerio del interior 🇵🇪', 'id': '98964508'}, {'screen_name': 'defensoria_peru', 'name': 'defensoría perú', 'id': '107428718'}]	[]	[]	0	1	1	['puentetrujillo', 'policiascontraelpueblo', 'policiacorrupta', 'merinonomerepresenta', 'merinonoesmipresidente', 'merinojamásserámipresidente', 'marchanacional']	[]	https://twitter.com/chio_rocs/status/1327763227569233920	False	https://twitter.com/uncuartodepollo/status/1327711027870519300	0								[]				
1327763177631834112	1327763177631834112	2020-11-14 18:59:44 -05	2020-11-14	18:59:44	-0500	1306048591501447173	heydyval	Heydy		#PeruLivesMatter #Merinonomerepresenta #EsteCongresoNoMeRepresenta	und	[]	[]	[]	0	0	3	['perulivesmatter', 'merinonomerepresenta', 'estecongresonomerepresenta']	[]	https://twitter.com/heydyval/status/1327763177631834112	False	https://twitter.com/Brendaa1397/status/1327759373645524992	0								[]				
1327763131981033477	1327763131981033477	2020-11-14 18:59:33 -05	2020-11-14	18:59:33	-0500	1140632736945922048	elacl2	Ela CL		#MarchaNacional #MarchaPeru #vamosperucarajo #PeruTeQuieroPorEsoTeDefiendo #MerinoNoEsMiPresidente #Merinonomerepresenta #MerinoAsesino #FueraMerino #PeruvianLivesMatter #14N  // @misiondifusion	und	[{'screen_name': 'misiondifusion', 'name': 'fandoms unidos jamás serán vencidos', 'id': '1327451395344183297'}]	[]	[]	0	0	0	['marchanacional', 'marchaperu', 'vamosperucarajo', 'perutequieroporesotedefiendo', 'merinonoesmipresidente', 'merinonomerepresenta', 'merinoasesino', 'fueramerino', 'peruvianlivesmatter', '14n']	[]	https://twitter.com/ElaCL2/status/1327763131981033477	False	https://twitter.com/95swiftloujs/status/1327738933338279936	0								[]				
1327763031259033600	1327763031259033600	2020-11-14 18:59:09 -05	2020-11-14	18:59:09	-0500	948786770	505pt	ٗ		Y el que es del gobierno? total corrupción hay en todos lados #Merinonomerepresenta #MerinoCTM #PoliciasAsesinos	es	[]	[]	[]	0	0	1	['merinonomerepresenta', 'merinoctm', 'policiasasesinos']	[]	https://twitter.com/505pt/status/1327763031259033600	False	https://twitter.com/Merengue_1924/status/1327747001627389953	0								[]				
1327762984064704512	1327762984064704512	2020-11-14 18:58:58 -05	2020-11-14	18:58:58	-0500	145835994	gonza1504	Gonzalo Valencia		¡Miles de personas! ¡Impresionante! #MerinoNoEsMiPresidente #MerinoNoMeRepresenta	es	[]	[]	[]	0	0	1	['merinonoesmipresidente', 'merinonomerepresenta']	[]	https://twitter.com/Gonza1504/status/1327762984064704512	False	https://twitter.com/PCaterianoB/status/1327753141715161089	0								[]				
1327762974073901057	1327762974073901057	2020-11-14 18:58:56 -05	2020-11-14	18:58:56	-0500	54095673	yaniirapaola	Yanira Paola ॐ		Es Merino o Maduro? Csm #Merinonomerepresenta	es	[]	[]	[]	0	0	0	['merinonomerepresenta']	[]	https://twitter.com/YaniiraPaola/status/1327762974073901057	False	https://twitter.com/Alonso_GD/status/1327714786604355584	0								[]				
1327762897666183168	1327762897666183168	2020-11-14 18:58:38 -05	2020-11-14	18:58:38	-0500	795155358	pxnditx11	Maria.M Sinarahua.S 🙌🇵🇪🙌		#FueraMerino #Merinonomerepresenta	und	[]	[]	[]	0	0	0	['fueramerino', 'merinonomerepresenta']	[]	https://twitter.com/Pxnditx11/status/1327762897666183168	False	https://twitter.com/SAL_alabrasa/status/1327693661237293056	0								[]				
1327762892192690177	1327762892192690177	2020-11-14 18:58:36 -05	2020-11-14	18:58:36	-0500	1140632736945922048	elacl2	Ela CL		#MarchaNacional #MarchaPeru #vamosperucarajo #PeruTeQuieroPorEsoTeDefiendo #MerinoNoEsMiPresidente #Merinonomerepresenta #MerinoAsesino #FueraMerino #PeruvianLivesMatter #14N  // @misiondifusion	und	[{'screen_name': 'misiondifusion', 'name': 'fandoms unidos jamás serán vencidos', 'id': '1327451395344183297'}]	[]	[]	0	0	0	['marchanacional', 'marchaperu', 'vamosperucarajo', 'perutequieroporesotedefiendo', 'merinonoesmipresidente', 'merinonomerepresenta', 'merinoasesino', 'fueramerino', 'peruvianlivesmatter', '14n']	[]	https://twitter.com/ElaCL2/status/1327762892192690177	False	https://twitter.com/Kathy_Luciani/status/1327761417014030337	0								[]				
1327762816011554819	1327762816011554819	2020-11-14 18:58:18 -05	2020-11-14	18:58:18	-0500	90719029	elmer_hb	Elmer Hidalgo		Gracias Ayacucho!!!!! #Merinonomerepresenta	es	[]	[]	[]	0	0	1	['merinonomerepresenta']	[]	https://twitter.com/elmer_hb/status/1327762816011554819	False	https://twitter.com/JosemariaRod23/status/1327747691900702721	0								[]				
1327762755449982976	1327762755449982976	2020-11-14 18:58:04 -05	2020-11-14	18:58:04	-0500	1327067971068506114	4peraeduardo	Eduardo Peralta Medina		#Merinonomerepresenta #AguantePeru	und	[]	[]	[]	0	0	0	['merinonomerepresenta', 'aguanteperu']	[]	https://twitter.com/4PeraEduardo/status/1327762755449982976	False	https://twitter.com/sonicabanillasq/status/1327644296368041984	0								[]				
